n 1000
e 0 4 8
e 0 7 3
e 0 9 3
e 0 11 1
e 0 12 4
e 0 22 4
e 0 34 3
e 0 35 8
e 0 57 6
e 0 71 2
e 0 79 2
e 0 83 8
e 0 89 4
e 0 107 2
e 0 116 6
e 0 125 1
e 0 126 8
e 0 130 1
e 0 131 3
e 0 135 1
e 0 147 1
e 0 153 2
e 0 158 7
e 0 180 2
e 0 181 7
e 0 201 3
e 0 228 2
e 0 254 10
e 0 257 7
e 0 295 5
e 0 297 6
e 0 320 6
e 0 323 2
e 0 327 6
e 0 333 7
e 0 345 3
e 0 346 3
e 0 349 5
e 0 353 10
e 0 355 9
e 0 367 7
e 0 376 8
e 0 378 7
e 0 399 2
e 0 401 6
e 0 405 2
e 0 423 9
e 0 429 8
e 0 431 1
e 0 433 2
e 0 434 4
e 0 449 5
e 0 466 2
e 0 476 1
e 0 482 9
e 0 485 6
e 0 498 8
e 0 504 3
e 0 505 7
e 0 519 1
e 0 540 8
e 0 541 9
e 0 549 2
e 0 564 6
e 0 582 4
e 0 588 8
e 0 612 5
e 0 614 4
e 0 625 2
e 0 640 8
e 0 641 5
e 0 646 8
e 0 663 4
e 0 674 2
e 0 680 10
e 0 692 1
e 0 700 10
e 0 728 7
e 0 729 5
e 0 740 8
e 0 746 4
e 0 757 10
e 0 764 4
e 0 768 8
e 0 769 1
e 0 770 7
e 0 783 4
e 0 788 2
e 0 808 2
e 0 812 2
e 0 813 7
e 0 820 10
e 0 821 4
e 0 857 4
e 0 881 4
e 0 889 10
e 0 894 6
e 0 911 8
e 0 919 8
e 0 923 9
e 0 940 5
e 0 961 4
e 0 964 5
e 0 977 6
e 0 989 2
e 0 992 4
e 0 994 6
e 0 998 5
e 1 16 4
e 1 30 7
e 1 59 5
e 1 67 9
e 1 68 8
e 1 77 8
e 1 78 1
e 1 92 6
e 1 98 9
e 1 108 7
e 1 112 10
e 1 114 3
e 1 126 8
e 1 130 10
e 1 139 4
e 1 155 1
e 1 180 7
e 1 183 4
e 1 188 3
e 1 189 8
e 1 194 7
e 1 200 4
e 1 207 8
e 1 214 8
e 1 215 9
e 1 220 6
e 1 230 1
e 1 239 1
e 1 242 8
e 1 246 5
e 1 262 3
e 1 271 9
e 1 273 3
e 1 327 10
e 1 354 9
e 1 372 3
e 1 395 10
e 1 398 3
e 1 436 3
e 1 448 6
e 1 455 5
e 1 456 5
e 1 487 5
e 1 494 5
e 1 503 4
e 1 506 8
e 1 515 8
e 1 544 5
e 1 548 4
e 1 550 6
e 1 569 1
e 1 584 2
e 1 586 3
e 1 592 5
e 1 603 7
e 1 604 2
e 1 608 10
e 1 611 6
e 1 616 9
e 1 621 2
e 1 629 8
e 1 630 4
e 1 633 2
e 1 639 1
e 1 656 6
e 1 674 9
e 1 680 1
e 1 691 2
e 1 706 9
e 1 725 1
e 1 735 10
e 1 736 3
e 1 749 7
e 1 752 10
e 1 753 6
e 1 759 2
e 1 775 8
e 1 781 2
e 1 786 10
e 1 803 2
e 1 806 6
e 1 814 4
e 1 825 10
e 1 842 3
e 1 854 5
e 1 857 7
e 1 861 9
e 1 865 9
e 1 878 4
e 1 879 7
e 1 889 10
e 1 893 8
e 1 899 2
e 1 910 7
e 1 922 10
e 1 929 3
e 1 936 2
e 1 937 8
e 1 940 9
e 1 948 10
e 1 980 5
e 1 989 1
e 1 992 10
e 2 1 3
e 2 31 2
e 2 49 3
e 2 60 7
e 2 63 5
e 2 88 6
e 2 116 7
e 2 125 1
e 2 126 1
e 2 143 4
e 2 180 2
e 2 185 1
e 2 209 9
e 2 210 2
e 2 217 5
e 2 223 7
e 2 230 5
e 2 260 4
e 2 268 9
e 2 273 2
e 2 310 2
e 2 320 5
e 2 333 1
e 2 349 2
e 2 350 9
e 2 355 3
e 2 366 3
e 2 370 3
e 2 373 3
e 2 380 9
e 2 386 5
e 2 395 8
e 2 402 7
e 2 411 5
e 2 443 7
e 2 453 8
e 2 454 2
e 2 457 9
e 2 466 7
e 2 475 9
e 2 496 7
e 2 508 1
e 2 513 5
e 2 514 2
e 2 518 3
e 2 538 6
e 2 548 3
e 2 559 10
e 2 563 7
e 2 578 5
e 2 588 3
e 2 590 5
e 2 608 9
e 2 611 9
e 2 634 6
e 2 636 3
e 2 648 9
e 2 662 6
e 2 668 5
e 2 679 4
e 2 684 2
e 2 691 2
e 2 694 6
e 2 697 6
e 2 708 2
e 2 729 9
e 2 739 10
e 2 746 4
e 2 755 10
e 2 763 4
e 2 768 1
e 2 782 6
e 2 799 8
e 2 801 7
e 2 808 6
e 2 812 6
e 2 816 7
e 2 820 4
e 2 842 9
e 2 850 4
e 2 851 2
e 2 853 4
e 2 864 1
e 2 877 2
e 2 881 9
e 2 924 5
e 2 927 9
e 2 931 1
e 2 934 5
e 2 940 7
e 2 944 10
e 2 949 5
e 2 974 5
e 2 975 5
e 2 980 1
e 2 998 3
e 3 11 4
e 3 18 7
e 3 59 9
e 3 71 10
e 3 87 7
e 3 90 6
e 3 97 2
e 3 105 1
e 3 123 1
e 3 130 8
e 3 145 7
e 3 152 3
e 3 155 2
e 3 158 1
e 3 162 7
e 3 172 9
e 3 182 9
e 3 189 3
e 3 200 2
e 3 216 5
e 3 219 7
e 3 221 6
e 3 237 10
e 3 246 6
e 3 248 6
e 3 263 8
e 3 268 3
e 3 285 5
e 3 290 6
e 3 297 6
e 3 303 1
e 3 311 2
e 3 313 8
e 3 318 7
e 3 320 8
e 3 335 6
e 3 354 6
e 3 364 6
e 3 369 8
e 3 375 3
e 3 379 1
e 3 387 4
e 3 391 7
e 3 414 9
e 3 457 8
e 3 464 7
e 3 466 10
e 3 478 3
e 3 486 6
e 3 505 10
e 3 520 5
e 3 534 4
e 3 543 2
e 3 551 2
e 3 581 4
e 3 619 5
e 3 626 6
e 3 654 9
e 3 681 9
e 3 687 9
e 3 693 7
e 3 696 8
e 3 700 10
e 3 704 10
e 3 718 9
e 3 720 2
e 3 723 4
e 3 737 8
e 3 764 2
e 3 766 9
e 3 776 5
e 3 798 2
e 3 809 1
e 3 813 1
e 3 817 9
e 3 820 9
e 3 839 2
e 3 841 8
e 3 853 9
e 3 862 1
e 3 863 2
e 3 866 10
e 3 867 3
e 3 877 4
e 3 890 3
e 3 898 9
e 3 899 2
