n 100
e 0 4 8
e 0 7 2
e 0 9 10
e 0 11 5
e 0 12 3
e 0 22 4
e 0 34 4
e 0 35 9
e 0 57 8
e 0 71 6
e 0 79 7
e 0 83 3
e 0 89 10
e 1 9 4
e 1 18 8
e 1 27 7
e 1 28 5
e 1 32 3
e 1 33 1
e 1 37 5
e 1 49 8
e 1 55 3
e 1 60 6
e 1 82 7
e 1 83 5
e 2 6 10
e 2 33 3
e 2 59 6
e 2 62 8
e 3 4 3
e 3 6 9
e 3 29 10
e 3 32 7
e 3 36 9
e 3 42 3
e 3 54 5
e 3 55 5
e 3 58 1
e 3 62 4
e 3 64 4
e 3 76 6
e 3 85 1
e 3 87 4
e 4 13 1
e 4 15 3
e 4 19 4
e 4 37 6
e 4 43 7
e 4 45 5
e 4 47 9
e 4 48 9
e 4 63 10
e 4 80 7
e 4 90 6
e 4 96 7
e 4 99 6
e 5 18 9
e 5 24 1
e 5 25 5
e 5 39 1
e 5 60 8
e 5 61 5
e 5 69 5
e 5 84 4
e 6 9 9
e 6 15 7
e 6 39 7
e 6 41 3
e 6 52 7
e 6 67 7
e 6 68 2
e 6 73 5
e 6 90 1
e 7 9 6
e 7 15 3
e 7 27 2
e 7 35 3
e 7 63 2
e 7 64 1
e 7 75 6
e 7 81 6
e 7 92 4
e 7 99 6
e 8 12 5
e 8 13 1
e 8 14 8
e 8 27 8
e 8 32 1
e 8 52 10
e 8 56 7
e 8 57 6
e 8 64 3
e 9 11 8
e 9 35 8
e 9 43 6
e 9 48 10
e 9 65 9
e 9 73 2
e 9 77 1
e 9 94 9
e 10 26 1
e 10 29 4
e 10 42 10
e 10 54 6
e 10 57 10
e 10 59 8
e 10 63 10
e 10 80 2
e 10 94 9
e 11 35 9
e 11 43 1
e 11 44 5
e 11 53 1
e 11 54 7
e 11 74 8
e 11 84 8
e 11 88 4
e 11 90 6
e 12 15 1
e 12 19 3
e 12 28 5
e 12 44 6
e 12 69 7
e 12 72 10
e 12 77 1
e 12 78 3
e 12 83 10
e 12 89 5
e 12 96 5
e 13 23 6
e 13 33 8
e 13 42 8
e 13 45 8
e 13 49 3
e 13 65 1
e 13 74 7
e 13 76 1
e 14 45 10
e 14 90 6
e 15 29 6
e 15 32 3
e 15 70 9
e 15 82 7
e 15 89 1
e 15 90 1
e 16 38 3
e 16 45 1
e 16 54 3
e 16 57 4
e 16 66 10
e 16 95 8
e 16 99 6
e 17 19 3
e 17 38 2
e 17 53 1
e 17 55 3
e 17 61 6
e 17 72 9
e 17 73 4
e 17 77 8
e 17 80 10
e 17 85 1
e 17 90 8
e 17 98 10
e 17 99 4
e 18 21 6
e 18 27 8
e 18 44 5
e 18 62 7
e 18 68 8
e 18 79 7
e 18 94 2
e 19 33 10
e 19 43 10
e 19 44 8
e 19 57 9
e 19 60 10
e 19 61 6
e 19 67 6
e 19 83 8
e 19 89 3
e 19 94 6
e 20 32 7
e 20 35 4
e 20 54 5
e 20 71 5
e 20 86 7
e 20 90 8
e 20 94 8
e 21 29 7
e 21 30 5
e 21 40 2
e 21 44 4
e 21 50 9
e 21 61 9
e 21 73 5
e 21 80 6
e 21 87 7
e 21 91 2
e 21 99 9
e 22 54 4
e 22 63 8
e 22 66 8
e 22 75 5
e 23 28 3
e 23 46 9
e 23 57 1
e 23 60 5
e 23 85 6
e 24 38 7
e 24 47 8
e 24 48 6
e 25 28 10
e 25 33 9
e 25 57 2
e 25 58 6
e 25 71 3
e 25 78 2
e 26 35 2
e 26 43 1
e 26 85 9
e 26 95 5
e 27 36 2
e 27 52 2
e 27 53 7
e 27 58 6
e 27 69 4
e 27 73 8
e 27 76 7
e 27 83 2
e 27 89 4
e 27 98 1
e 28 34 7
e 28 43 10
e 28 75 2
e 28 85 3
e 28 86 8
e 28 89 5
e 28 98 5
e 29 37 7
e 29 58 9
e 29 70 10
e 29 75 8
e 29 76 4
e 29 80 8
e 30 31 6
e 30 41 1
e 30 52 1
e 30 56 2
e 30 81 6
e 30 83 1
e 31 33 7
e 31 36 7
e 31 59 10
e 31 73 9
e 31 87 4
e 31 93 9
e 32 37 2
e 32 42 10
e 32 49 10
e 32 52 6
e 32 55 8
e 32 66 7
e 32 87 7
e 32 97 7
e 33 38 6
e 33 47 3
e 33 55 6
e 33 60 7
e 33 74 4
e 33 91 5
e 33 93 6
e 34 35 8
e 34 39 2
e 34 47 6
e 34 69 7
e 34 77 3
e 34 78 10
e 34 80 9
e 34 91 3
e 35 40 3
e 35 44 4
e 35 87 5
e 35 90 2
e 35 97 4
e 36 40 10
e 36 44 7
e 36 49 9
e 36 74 3
e 36 75 1
e 36 80 6
e 36 98 5
e 37 48 9
e 37 55 5
e 37 96 3
e 38 47 5
e 38 63 7
e 38 66 9
e 38 73 2
e 38 81 7
e 38 99 6
e 39 46 1
e 39 61 4
e 39 68 2
e 39 71 9
e 39 74 5
e 39 78 10
e 39 88 9
e 39 98 2
e 40 46 9
e 40 57 1
e 40 73 2
e 40 76 9
e 40 78 2
e 41 45 6
e 41 47 5
e 41 62 4
e 41 89 3
e 41 96 3
e 42 45 5
e 42 53 9
e 42 60 3
e 42 96 3
e 43 50 3
e 43 55 4
e 43 61 1
e 43 65 10
e 43 73 5
e 43 77 7
e 44 88 7
e 44 95 10
e 44 97 5
e 45 55 9
e 45 63 3
e 45 82 6
e 45 97 2
e 46 58 10
e 46 67 3
e 46 75 8
e 47 53 8
e 47 91 6
e 47 98 5
e 48 75 5
e 49 52 8
e 49 64 5
e 49 67 2
e 49 71 3
e 49 75 5
e 49 89 1
e 49 91 2
e 49 94 5
e 50 59 9
e 50 86 2
e 50 88 6
e 50 98 1
e 51 72 1
e 51 83 5
e 51 87 3
e 51 91 3
e 51 94 4
e 52 66 9
e 52 68 9
e 52 80 9
e 52 89 10
e 52 93 1
e 52 94 4
e 53 58 7
e 53 71 5
e 53 79 1
e 53 80 9
e 53 84 6
e 53 86 6
e 54 65 7
e 54 66 5
e 54 81 7
e 55 62 7
e 55 88 5
e 55 92 6
e 56 61 8
e 56 72 10
e 56 73 7
e 56 74 8
e 56 94 10
e 57 59 3
e 57 74 2
e 57 75 10
e 58 59 7
e 58 63 3
e 58 75 7
e 58 80 9
e 58 94 9
e 58 99 5
e 59 69 4
e 59 72 6
e 59 91 10
e 59 93 8
e 60 63 1
e 60 83 2
e 60 87 10
e 61 64 5
e 61 77 7
e 61 80 2
e 61 99 5
e 62 72 2
e 62 78 7
e 63 66 1
e 63 70 4
e 63 79 8
e 64 65 7
e 64 69 9
e 64 70 1
e 64 73 1
e 64 78 9
e 64 89 1
e 64 90 2
e 64 92 5
e 65 69 3
e 65 97 3
e 66 86 9
e 66 88 5
e 66 89 6
e 67 72 7
e 67 91 1
e 67 98 9
e 68 71 7
e 68 75 10
e 68 80 10
e 69 95 8
e 71 82 7
e 71 95 10
e 71 98 1
e 71 99 9
e 73 77 2
e 74 93 5
e 75 88 6
e 76 84 1
e 76 87 7
e 76 88 6
e 77 83 7
e 77 98 10
e 78 89 6
e 79 96 1
e 81 85 6
e 81 87 4
e 81 91 9
e 81 99 5
e 82 94 2
e 82 95 1
e 82 97 4
e 84 89 7
e 84 92 1
e 85 95 9
e 85 99 4
e 88 92 5
e 89 92 5
e 93 96 8
e 95 96 7
e 95 98 6
e 96 98 10
