n 100
e 0 4 8
e 0 7 8
e 0 9 9
e 0 11 3
e 0 12 6
e 0 22 9
e 0 34 7
e 0 35 4
e 0 57 8
e 0 71 6
e 0 79 3
e 0 83 7
e 0 89 6
e 4 5 1
e 4 9 1
e 4 27 3
e 4 33 5
e 4 35 4
e 4 37 9
e 4 38 8
e 4 53 5
e 4 70 6
e 4 80 2
e 4 86 10
e 4 89 2
e 7 35 8
e 7 36 7
e 7 47 3
e 7 53 2
e 7 64 3
e 7 71 4
e 7 75 4
e 7 76 10
e 7 77 8
e 7 90 5
e 7 95 7
e 9 20 5
e 9 28 10
e 9 32 6
e 9 49 5
e 9 70 7
e 9 73 5
e 9 86 6
e 9 98 1
e 11 18 8
e 11 22 4
e 11 24 6
e 11 36 4
e 11 40 4
e 11 49 5
e 11 65 8
e 11 90 1
e 11 93 6
e 11 98 10
e 11 99 4
e 12 18 6
e 12 31 10
e 12 41 10
e 12 50 2
e 12 53 3
e 12 57 4
e 12 73 1
e 12 82 4
e 12 84 3
e 22 29 10
e 22 30 7
e 22 43 9
e 22 50 9
e 22 80 2
e 22 88 9
e 34 88 1
e 34 95 8
e 34 97 2
e 35 37 2
e 35 52 3
e 35 66 3
e 35 75 9
e 35 83 1
e 57 78 5
e 57 93 1
e 57 99 1
e 71 82 6
e 71 87 8
e 79 81 1
e 79 97 9
e 83 98 9
e 1 8 1
e 1 17 7
e 1 26 9
e 1 27 10
e 1 31 1
e 1 32 7
e 1 36 10
e 1 48 8
e 1 54 1
e 1 59 6
e 1 81 5
e 1 82 9
e 8 16 10
e 8 20 6
e 8 21 4
e 8 28 3
e 8 65 5
e 8 89 5
e 8 97 2
e 17 22 9
e 17 41 8
e 17 51 6
e 17 52 10
e 17 65 3
e 17 68 8
e 17 69 1
e 17 75 7
e 17 91 3
e 17 97 9
e 26 32 7
e 26 35 1
e 26 58 3
e 26 72 5
e 26 86 3
e 26 92 5
e 27 33 6
e 27 54 8
e 27 64 10
e 27 71 6
e 27 80 5
e 27 88 6
e 27 93 7
e 31 33 5
e 31 51 3
e 31 58 2
e 31 73 10
e 31 80 2
e 31 83 1
e 31 86 3
e 31 90 10
e 32 45 9
e 32 48 6
e 32 50 9
e 32 75 2
e 32 77 6
e 32 92 5
e 36 52 8
e 36 59 3
e 36 87 1
